CDF Percentile,Private car,Official car,SPV,Rental car,Bus,Taxi
1.0,6.0,6.0,6.1,6.0,10.0,7.0
2.0,6.5,7.0,8.0,7.0,15.7,9.9
3.0,7.0,8.0,9.0,8.0,21.0,12.0
4.0,7.9,9.0,10.1,9.0,25.7,14.0
5.0,8.0,9.9,12.0,10.0,29.700000000000003,17.0
6.000000000000001,9.0,10.3,13.5,11.0,33.0,19.7
6.999999999999999,9.0,11.0,15.0,12.2,36.5,22.4
8.0,10.0,12.0,16.3,14.0,40.0,25.64
9.0,10.4,13.0,18.0,15.0,42.5,29.0
10.0,11.0,14.0,19.9,16.0,45.0,32.0
11.0,11.8,15.0,21.0,17.6,48.0,35.0
12.0,12.0,16.0,22.6,19.0,50.800000000000004,38.0
13.0,13.0,17.0,24.0,20.0,53.1,42.0
14.000000000000002,13.0,18.0,25.5,21.5,56.0,45.0
15.000000000000002,14.0,19.0,27.0,23.0,58.7,48.0
16.0,14.4,20.0,28.0,24.0,61.0,52.0
17.0,15.0,21.0,29.8,26.0,63.6,56.0
18.000000000000004,15.8,22.0,31.0,27.2,66.0,59.0
19.0,16.0,23.0,32.0,29.0,68.1,63.0
20.0,17.0,24.0,33.8,30.4,70.6,66.0
21.000000000000004,17.1,25.0,35.0,32.0,72.5,70.0
22.0,18.0,26.0,36.0,34.0,74.30000000000001,73.0
23.0,18.6,27.0,38.0,35.3,76.69999999999999,77.0
24.000000000000004,19.0,28.0,39.0,37.0,78.19999999999999,80.0
25.0,20.0,29.6,40.3,39.0,80.0,83.0
26.0,20.099999999999998,31.0,42.0,40.8,82.0,87.0
27.0,21.0,32.0,43.0,42.4,83.8,90.0
28.000000000000004,21.799999999999997,33.0,44.400000000000006,44.2,85.4,93.0
29.000000000000004,22.0,34.0,46.0,46.0,87.5,97.0
30.0,23.0,35.2,47.0,48.0,89.0,100.0
31.0,23.4,37.0,48.3,50.0,90.8,103.0
32.0,24.0,38.0,50.0,52.0,92.0,107.0
33.0,25.0,39.0,51.0,54.3,93.4,110.0
34.0,25.299999999999997,40.9,52.2,56.8,95.0,113.0
35.0,26.0,42.0,54.0,59.0,96.6,116.0
36.00000000000001,27.0,43.0,55.1,61.0,98.0,119.0
37.0,27.4,45.0,56.5,63.0,99.5,122.0
38.0,28.0,46.0,58.0,65.58200000000008,101.0,125.0
39.0,29.0,47.3,59.5,68.0,102.1,128.0
40.0,29.6,49.0,61.0,70.0,104.0,131.0
41.0,30.0,50.1,62.0,73.0,105.5,134.0
42.00000000000001,31.0,52.0,64.0,75.1,107.5,137.0
43.0,32.0,54.0,65.3,78.0,109.0,139.0
