,Private car_P1_workday,Private car_P2_workday,Private car_P3_workday,Taxi_P1_workday,Taxi_P2_workday,Taxi_P3_workday,Official car_P1_workday,Official car_P2_workday,Official car_P3_workday,Rental car_P1_workday,Rental car_P2_workday,Rental car_P3_workday,Bus_P1_workday,Bus_P2_workday,Bus_P3_workday,SPV_P1_workday,SPV_P2_workday,SPV_P3_workday,Private car_P1_weekend & holiday,Private car_P2_weekend & holiday,Private car_P3_weekend & holiday,Taxi_P1_weekend & holiday,Taxi_P2_weekend & holiday,Taxi_P3_weekend & holiday,Official car_P1_weekend & holiday,Official car_P2_weekend & holiday,Official car_P3_weekend & holiday,Rental car_P1_weekend & holiday,Rental car_P2_weekend & holiday,Rental car_P3_weekend & holiday,Bus_P1_weekend & holiday,Bus_P2_weekend & holiday,Bus_P3_weekend & holiday,SPV_P1_weekend & holiday,SPV_P2_weekend & holiday,SPV_P3_weekend & holiday
0,3858.9492839350596,14289.345972306792,4942.130163196991,206.83970916677606,2642.285904608667,1155.767096400261,549.447258764969,3353.1413524133914,4529.557904827956,135.76213646222922,569.1900301283463,4132.379303885409,16658.012959192336,15603.36015946068,7780.6984041861515,602.1364683870339,8353.17670716842,1202.5526586850485,4244.325186732774,15534.412297451136,5977.067975431184,242.95685663074255,2771.9502713764086,1250.083759084344,614.9809142326733,3741.880236601457,5725.144975482051,184.59453650051728,715.6813614375535,5131.607395817339,21264.540675004322,18607.125617027283,8590.59545147419,714.5089687211206,10546.468145031358,1463.6092738509178
1,3836.9184424771256,14134.498789490839,4851.8718943710555,207.81173345582053,2647.516748185185,1130.3197394537203,544.1057968329646,3336.26549013467,4605.669066016602,135.9776121108708,579.2465179378743,4260.919214888234,16507.06535739714,15188.625140947262,7015.769414775751,591.2067876711262,8233.83249463421,1138.9944286100792,4224.101668106807,15382.52759514117,5935.059507498641,243.2327236905694,2772.483835705556,1233.0852896124125,609.9726261323115,3701.480481689796,5795.026640493299,186.32939627254382,714.7662941621883,5269.31578855291,20825.636612792812,18312.557486653328,7518.7178102731705,707.1856283815345,10378.44163836104,1345.6542128920555
2,3818.2623343779483,13982.567072647753,4757.678520042967,207.98256223174658,2649.808257098225,1104.682906609593,541.8755681975667,3322.636780039492,4674.903010445472,136.90444568087432,589.9419728472299,4348.572144808552,16170.70545833143,14967.079519292056,6227.987656033852,582.6234742818683,8072.490486175621,1075.9885388728346,4210.328345032824,15252.677523353334,5842.6694980954135,242.89832402020693,2771.7424766505137,1252.8614427000284,608.8175830965658,3704.226692294702,5782.189590919639,187.52042935276404,716.7464837240321,5469.214961455017,20430.144077916942,18005.974335312843,7191.255300164223,701.4265518532833,10123.774128248915,1277.460870206356
3,3798.35088152113,13821.027489539112,4637.676685919284,209.08418805355376,2647.8281787694855,1103.3256817333624,538.879481594512,3306.249901727858,4745.535779071034,138.43658598326147,593.9212268071565,4425.360903410659,15782.572968693536,14503.387556573096,5347.796989921819,574.1338644714292,7932.289432081206,1015.7764230648678,4193.050457648727,15150.206310861942,5651.112822537124,241.73761177808046,2773.870601513423,1275.0249130874872,606.2455072229525,3714.087794210141,5821.855936396743,182.40630153240636,733.4298480557544,5548.926108028243,19899.815633674465,17559.663781762123,6485.754040360451,686.0275504337391,9679.618559502065,1209.2450919747353
4,3777.0905369292464,13656.123838458765,4498.651562796434,209.58196844160557,2637.358916603029,1065.526863694191,536.8099894281581,3286.018527377397,4702.698834073723,138.39456579512492,597.2829103058858,4391.890420706524,15444.030281927691,14090.8531901605,4663.740620833906,566.4304416486938,7685.650899519239,969.8031470219295,4169.536459836903,14998.909453504917,5442.687307839096,239.55530688911676,2764.0497690821066,1268.023673310876,603.0537646686455,3682.687799129014,5722.686568904544,181.55801186384633,736.5569931673152,5560.168363229186,19424.891998012863,17273.060221791267,5447.249310135841,677.0824336157879,9300.621212266386,1134.6513839364052
5,3760.2311102253666,13508.095492442215,4381.424948263386,209.70347348532894,2632.918920631436,1081.6611013737593,536.430402163816,3280.99332294647,4788.605053632007,139.52667650461873,609.3667644501556,4538.036131667007,15298.771618950688,13934.394736375207,4715.899548838084,560.8916556275478,7541.5010204491155,992.4553886377452,4149.244816615972,14880.647019588587,5353.581371242305,237.32768011838198,2758.58823914174,1294.8776133209467,615.1262497700104,3700.841970007246,5840.504142332698,181.31772314431146,744.0305973993881,5609.270631442219,19061.843531688053,17258.596539855003,5635.077938437462,668.4105961294612,8935.283579481144,1092.3366847634315
6,3736.7861126458592,13328.3521915349,4248.454175563508,209.99143884805116,2627.692116971043,1016.6568173097843,534.2031958523734,3264.8046690237456,4742.787829059791,140.09797648560595,614.0432761279843,4479.898539419969,14972.359204302373,13535.803755065146,4568.678896691312,554.9733879602543,7310.52395946644,965.2724801460903,4124.111954164796,14671.77286136015,5240.860147729019,236.4444869980216,2743.2550761485472,1272.7012477070093,613.4604915079324,3687.722899656122,5716.805028129245,179.65705742361024,744.6169324027641,5550.110289831708,18668.125389655434,16778.58778601885,5585.114494681358,664.3013126523932,8571.001087648172,1039.9658434987068
7,3710.782972530935,13168.131412061768,4154.603389445436,210.99185981940138,2626.9699801159177,999.7850991415256,534.1042948839951,3249.662679341537,4875.451903448208,140.44351576556537,620.6582380013856,4582.008072097736,14863.083544172261,13428.665275485564,4569.3498532162475,547.7231517280819,7153.013939054342,943.2251069813065,4105.365598538995,14549.243172738588,5293.639720593394,238.8060526177287,2733.2717014933005,1341.8475225120783,614.1024884019641,3682.6167105392865,5885.3734952619925,180.2080956888385,756.5495386528117,5682.274020770938,18529.86597355207,16709.075109302998,5637.3237537145615,657.2615477265557,8397.551241346697,1084.6606432398162
8,3690.92422254554,12989.004463179534,4017.265662638925,210.53300825438717,2613.0671615661545,990.6919844620155,531.3500752459385,3233.9016082122585,4921.237083862293,140.28135075775737,623.9919270877507,4643.187084052238,14661.692477382634,13212.2620429978,4514.989175497131,542.6712086318344,6972.714771301174,915.9729570237073,4088.7273352327256,14385.321835134066,5192.677519232531,238.264878295362,2725.2807074273005,1315.764432683587,606.3352875166236,3665.0239621357373,5789.460358434047,181.271845406387,770.1855321334941,5747.730117608855,18264.158332665764,16618.526909649372,5664.956416964531,650.965194595023,8092.803178775807,1058.361182530721
9,3667.109335757916,12782.931212500036,3920.9045317193245,209.31812685592607,2598.432480254634,981.82478770704,527.6724068080349,3209.612543967468,4823.343082236589,140.54130185073748,622.0201664463058,4538.606317682338,14409.241296187636,12979.019810068223,4666.875579187816,535.375056901687,6713.831054624722,880.745418047905,4054.3005807506347,14177.32088441763,4960.844578942159,236.39639353007078,2704.685932465829,1232.3246916681528,604.1696965896189,3650.62065559191,5759.609373046085,180.97381558129564,773.8197359400136,5679.938148706902,17865.74153431257,16216.077917397022,5650.258430361748,642.7264177324017,7746.48126677523,997.3884902000427
