,Interval,Height
0,"[0.0, 0.5)",0.9661294452845548
1,"[0.5, 1.0)",0.055537854834318556
2,"[1.0, 1.5)",0.07368316068391274
3,"[1.5, 2.0)",0.0696301447775235
4,"[2.0, 2.5)",0.07339527687252516
5,"[2.5, 3.0)",0.06583266618686032
6,"[3.0, 3.5)",0.060968831455888814
7,"[3.5, 4.0)",0.05872398465697889
8,"[4.0, 4.5)",0.051933377001102475
9,"[4.5, 5.0)",0.04760110301550206
10,"[5.0, 5.5)",0.041635330998994566
11,"[5.5, 6.0)",0.0376771981465458
12,"[6.0, 6.5)",0.03425386068903427
13,"[6.5, 7.0)",0.028844448397905027
14,"[7.0, 7.5)",0.02805303747071968
15,"[7.5, 8.0)",0.022962777270117498
16,"[8.0, 8.5)",0.022342802769938244
17,"[8.5, 9.0)",0.019644026815244905
18,"[9.0, 9.5)",0.01829625616268131
19,"[9.5, 10.0)",0.016061113312469844
20,"[10.0, 10.5)",0.014632476420752433
21,"[10.5, 11.0)",0.013410857101268792
22,"[11.0, 11.5)",0.012481434459260936
23,"[11.5, 12.0)",0.011099160877991714
24,"[12.0, 12.5)",0.01052770612130475
25,"[12.5, 13.0)",0.009397735206195431
26,"[13.0, 13.5)",0.008752961726009008
27,"[13.5, 14.0)",0.00781922621791295
28,"[14.0, 14.5)",0.0074839008795551274
29,"[14.5, 15.0)",0.00693185402026508
30,"[15.0, 15.5)",0.00636686856271042
31,"[15.5, 16.0)",0.00583638603386139
32,"[16.0, 16.5)",0.005687592153818369
33,"[16.5, 17.0)",0.005211020451071882
34,"[17.0, 17.5)",0.00482609715269972
35,"[17.5, 18.0)",0.004409905575188082
36,"[18.0, 18.5)",0.004220139467307127
37,"[18.5, 19.0)",0.0038902052115595592
38,"[19.0, 19.5)",0.0036583886593186212
39,"[19.5, 20.0)",0.0034804829331802267
40,"[20.0, 20.5)",0.003261604979203899
41,"[20.5, 21.0)",0.0029165756921476185
42,"[21.0, 21.5)",0.002982346899992722
43,"[21.5, 22.0)",0.0028216926382071414
44,"[22.0, 22.5)",0.002634082963370289
45,"[22.5, 23.0)",0.002391484245908842
46,"[23.0, 23.5)",0.0022426903658658215
47,"[23.5, 24.0)",0.0021197736823520214
48,"[24.0, 24.5)",0.002091740052778699
49,"[24.5, 25.0)",0.001992544132750018
50,"[25.0, 25.5)",0.0018750185318464727
51,"[25.5, 26.0)",0.0018081691074793185
52,"[26.0, 26.5)",0.0016529059283039924
53,"[26.5, 27.0)",0.0015839000708927364
54,"[27.0, 27.5)",0.001499799182172768
55,"[27.5, 28.0)",0.001423245809107156
56,"[28.0, 28.5)",0.0014006032621440875
57,"[28.5, 29.0)",0.0012582786812333718
58,"[29.0, 29.5)",0.0012248539690497948
59,"[29.5, 30.0)",0.0011774124420795562
60,"[30.0, 30.5)",0.0011978985559985228
61,"[30.5, 31.0)",0.0010792947385729265
62,"[31.0, 31.5)",0.0010685125733524178
63,"[31.5, 32.0)",0.00105880862465396
64,"[32.0, 32.5)",0.0009315790750519566
65,"[32.5, 33.0)",0.0009747077359339916
66,"[33.0, 33.5)",0.0008970761463463285
67,"[33.5, 34.0)",0.0008895286306919724
68,"[34.0, 34.5)",0.00084963461937609
69,"[34.5, 35.0)",0.0008108188245822585
70,"[35.0, 35.5)",0.0007903327106632918
71,"[35.5, 36.0)",0.0007170139871638323
72,"[36.0, 36.5)",0.0006641813775833394
73,"[36.5, 37.0)",0.0007288743689063919
74,"[37.0, 37.5)",0.000650164562796678
75,"[37.5, 38.0)",0.0005790022723413202
76,"[38.0, 38.5)",0.0006124269845248974
77,"[38.5, 39.0)",0.0006091923349587447
78,"[39.0, 39.5)",0.0005994883862602869
79,"[39.5, 40.0)",0.0006016448193043886
