,Interval,Height
0,"[0, 1)",0.0007136873627207187
1,"[1, 2)",0.023530575764971275
2,"[2, 3)",0.058612069363551816
3,"[3, 4)",0.10246228736140152
4,"[4, 5)",0.005073644356790913
5,"[5, 6)",0.0730388438528564
6,"[6, 7)",0.31976491850640143
7,"[7, 8)",0.00877004359956994
8,"[8, 9)",0.0011806842691960133
9,"[9, 10)",0.0029404974704334234
10,"[10, 11)",0.009172399691307129
11,"[11, 12)",0.002717552619601997
12,"[12, 13)",0.0020909324767326046
13,"[13, 14)",0.0024616277612511295
14,"[14, 15)",0.002771639831933882
15,"[15, 16)",0.0026674230081724457
16,"[16, 17)",0.003235998337807621
17,"[17, 18)",0.004820357899041601
18,"[18, 19)",0.00566992289274242
19,"[19, 20)",0.006076236585381941
20,"[20, 21)",0.004884998713779707
21,"[21, 22)",0.006924482378781982
22,"[22, 23)",0.00768961855323303
23,"[23, 24)",0.00729385846299973
24,"[24, 25)",0.0068334575580283234
25,"[25, 26)",0.006499699881931573
26,"[26, 27)",0.008814896409796382
27,"[27, 28)",0.01093221289254454
28,"[28, 29)",0.007655319345412811
29,"[29, 30)",0.010692118437803004
30,"[30, 31)",0.012808115720250384
31,"[31, 32)",0.010263378340050262
32,"[32, 33)",0.014544183316073796
33,"[33, 34)",0.011035110516005198
34,"[34, 35)",0.010543048803815127
35,"[35, 36)",0.011961189127151122
36,"[36, 37)",0.012474358044153634
37,"[37, 38)",0.010797654461865216
38,"[38, 39)",0.011190776151496962
39,"[39, 40)",0.01432651526644548
40,"[40, 41)",0.023195498888573748
41,"[41, 42)",0.012843734128371382
42,"[42, 43)",0.013697256722974532
43,"[43, 44)",0.015234125073380516
44,"[44, 45)",0.010169715118695048
45,"[45, 46)",0.008391433113246749
46,"[46, 47)",0.007460077700897716
47,"[47, 48)",0.007923117006470677
48,"[48, 49)",0.008094613045571774
49,"[49, 50)",0.006003680568839169
50,"[50, 51)",0.006444293469298911
51,"[51, 52)",0.004758355484905051
52,"[52, 53)",0.004049944923387443
53,"[53, 54)",0.00400641131346178
54,"[54, 55)",0.004944362727314701
55,"[55, 56)",0.006344034246439808
56,"[56, 57)",0.004751759483401162
57,"[57, 58)",0.005370464424465889
58,"[58, 59)",0.004176588152262099
59,"[59, 60)",0.006204199014557375
