,Interval,Height
0,"[0, 1)",0.0003552181370201726
1,"[1, 2)",0.00030994523720387606
2,"[2, 3)",0.00019328045690803508
3,"[3, 4)",8.009820736729382e-05
4,"[4, 5)",0.0008079471351831376
5,"[5, 6)",9.925212652034233e-05
6,"[6, 7)",7.313314585709435e-05
7,"[7, 8)",0.0001758678031325364
8,"[8, 9)",0.0003830783830609704
9,"[9, 10)",0.0010343116342646202
10,"[10, 11)",0.0016977337431111187
11,"[11, 12)",0.0005972540244996038
12,"[12, 13)",0.000607701616764903
13,"[13, 14)",0.0008114296659382373
14,"[14, 15)",0.00023855335672433157
15,"[15, 16)",0.00023855335672433157
16,"[16, 17)",0.00011840604567339086
17,"[17, 18)",0.00022462323370393264
18,"[18, 19)",0.0010012275920911727
19,"[19, 20)",0.0008044646044280379
20,"[20, 21)",0.0006373031281832508
21,"[21, 22)",0.0019380283652130003
22,"[22, 23)",0.0015410198591316309
23,"[23, 24)",0.0006808347626219974
24,"[24, 25)",0.000504966959489461
25,"[25, 26)",0.0013825647097745932
26,"[26, 27)",0.0014835581016724854
27,"[27, 28)",0.0011858017221114583
28,"[28, 29)",0.0007295901931933936
29,"[29, 30)",0.0011562002106931108
30,"[30, 31)",0.001048241757285019
31,"[31, 32)",0.00037785458692832084
32,"[32, 33)",0.0010499830226625689
33,"[33, 34)",0.0009071992617034799
34,"[34, 35)",0.000997745061336073
35,"[35, 36)",0.0008514787696218843
36,"[36, 37)",0.0006425269243159003
37,"[37, 38)",0.0007156600701729947
38,"[38, 39)",0.0012101794373971565
39,"[39, 40)",0.001204955641264507
40,"[40, 41)",0.001062171880305418
41,"[41, 42)",0.001474851774784736
42,"[42, 43)",0.0016228593318764746
43,"[43, 44)",0.0020285741648455933
44,"[44, 45)",0.004024064287517739
45,"[45, 46)",0.004327044463211416
46,"[46, 47)",0.003649692231344518
47,"[47, 48)",0.0031116412296816097
48,"[48, 49)",0.003195221967804003
49,"[49, 50)",0.003912623303354548
50,"[50, 51)",0.003473824428211982
51,"[51, 52)",0.0021522040066516337
52,"[52, 53)",0.0033710897709365397
53,"[53, 54)",0.0033188518096100438
54,"[54, 55)",0.0032283060099774505
55,"[55, 56)",0.0031186062911918093
56,"[56, 57)",0.003402432547732437
57,"[57, 58)",0.003924812160997397
58,"[58, 59)",0.005373544955118885
59,"[59, 60)",0.008770753706718672
60,"[60, 61)",0.004389730016803211
61,"[61, 62)",0.0011823191913563587
62,"[62, 63)",0.0015880340243254773
63,"[63, 64)",0.0016977337431111187
64,"[64, 65)",0.0016942512123560192
65,"[65, 66)",0.004567339085313297
66,"[66, 67)",0.007753854726229551
67,"[67, 68)",0.0075832107192296645
68,"[68, 69)",0.010853307098268311
69,"[69, 70)",0.0024952332860289574
70,"[70, 71)",0.0024273239363045125
71,"[71, 72)",0.003691482600405715
72,"[72, 73)",0.0024534429169677605
73,"[73, 74)",0.003005424041651068
74,"[74, 75)",0.003506908470385429
75,"[75, 76)",0.004720570438537686
76,"[76, 77)",0.0029201020381511246
