,Interval,Height
0,"[0, 1)",0.00025193209689012056
1,"[1, 2)",0.002200700964010759
2,"[2, 3)",0.03314389027616204
3,"[3, 4)",0.029001830212586233
4,"[4, 5)",0.0027267944604577755
5,"[5, 6)",0.012678112287617537
6,"[6, 7)",0.02774216972813563
7,"[7, 8)",0.004186518668909356
8,"[8, 9)",0.003512229821350504
9,"[9, 10)",0.006172336373807954
10,"[10, 11)",0.003527049356461688
11,"[11, 12)",0.003816030291129767
12,"[12, 13)",0.00523870566180339
13,"[13, 14)",0.006579873589365502
14,"[14, 15)",0.005787028460917181
15,"[15, 16)",0.0066762005675881945
16,"[16, 17)",0.009180702001378216
17,"[17, 18)",0.0076987484902598605
18,"[18, 19)",0.010847899701386367
19,"[19, 20)",0.007646880117370718
20,"[20, 21)",0.006261253584475055
21,"[21, 22)",0.01047741132360678
22,"[22, 23)",0.01185562808894685
23,"[23, 24)",0.010603377372051838
24,"[24, 25)",0.01215201879117052
25,"[25, 26)",0.009669746660047274
26,"[26, 27)",0.012559556006728069
27,"[27, 28)",0.0204657779885445
28,"[28, 29)",0.02912779626103129
29,"[29, 30)",0.04190964529442712
30,"[30, 31)",0.030187393021480918
31,"[31, 32)",0.025771171558348214
32,"[32, 33)",0.020399090080544174
33,"[33, 34)",0.024289218047229857
34,"[34, 35)",0.02413361292856243
35,"[35, 36)",0.019798898908541238
36,"[36, 37)",0.017161021658750567
37,"[37, 38)",0.031180301873930213
38,"[38, 39)",0.018843038893869898
39,"[39, 40)",0.01231503367739354
40,"[40, 41)",0.014004460680068467
41,"[41, 42)",0.018042783997865987
42,"[42, 43)",0.014775076505850011
43,"[43, 44)",0.018568877494313005
44,"[44, 45)",0.03440355076061264
45,"[45, 46)",0.02171802870543951
46,"[46, 47)",0.024785672473454506
47,"[47, 48)",0.016938728632082813
48,"[48, 49)",0.013611742999622102
49,"[49, 50)",0.018316945397422884
50,"[50, 51)",0.02076957845832376
51,"[51, 52)",0.02617870877390576
52,"[52, 53)",0.013545055091621776
53,"[53, 54)",0.014738027668072053
54,"[54, 55)",0.00869165734270916
55,"[55, 56)",0.008395266640485488
56,"[56, 57)",0.00881762339115422
57,"[57, 58)",0.015264121164519069
58,"[58, 59)",0.00927702897960091
59,"[59, 60)",0.014530554176515482
60,"[60, 61)",0.005549915899138244
61,"[61, 62)",0.003549278659128463
62,"[62, 63)",0.0014449046733403972
63,"[63, 64)",0.0009854990848937068
64,"[64, 65)",0.0010744162955608082
65,"[65, 66)",0.0008743525715598302
66,"[66, 67)",0.0015782804893410493
67,"[67, 68)",0.0027638432982357345
68,"[68, 69)",0.0022599791044554934
69,"[69, 70)",0.003964225642241603
70,"[70, 71)",0.0035048200537949126
71,"[71, 72)",0.0036381958697955645
72,"[72, 73)",0.0041494698311313975
73,"[73, 74)",0.006565054054254318
74,"[74, 75)",0.00561660380713857
75,"[75, 76)",0.0020747349155656987
76,"[76, 77)",0.0008076646635595041
77,"[77, 78)",0.0003556688426684055
78,"[78, 79)",0.0002741613995568959
79,"[79, 80)",0.0003630786102239973
80,"[80, 81)",0.0004668153560022822
81,"[81, 82)",0.0007483865231147699
82,"[82, 83)",0.0007261572204479946
83,"[83, 84)",0.0015782804893410493
84,"[84, 85)",0.0007706158257815452
85,"[85, 86)",0.0013263483924509287
86,"[86, 87)",0.0021932911964551672
87,"[87, 88)",0.0029713167897923044
88,"[88, 89)",0.00332698563246071
89,"[89, 90)",0.001763524678230844
90,"[90, 91)",0.0009410404795601562
91,"[91, 92)",0.00045199582089109865
92,"[92, 93)",0.00014078558355624384
93,"[93, 94)",0.000237112561778937
94,"[94, 95)",0.00022229302666775344
95,"[95, 96)",0.0002000637240009781
96,"[96, 97)",0.0004371762857799151
97,"[97, 98)",0.0002815711671124877
98,"[98, 99)",0.00025934186444571234
99,"[99, 100)",0.00034084930755722193
100,"[100, 101)",0.0004668153560022822
101,"[101, 102)",0.0005038641937802411
102,"[102, 103)",0.00025193209689012056
103,"[103, 104)",0.0005409130315582
104,"[104, 105)",0.0013115288573397452
105,"[105, 106)",0.0004371762857799151
106,"[106, 107)",0.0005631423342249754
107,"[107, 108)",0.00037789814533518084
108,"[108, 109)",0.00017042465377861097
109,"[109, 110)",0.000237112561778937
110,"[110, 111)",0.0008076646635595041
111,"[111, 112)",0.0014523144408959891
112,"[112, 113)",0.001252250716895011
113,"[113, 114)",0.0006594693124476685
114,"[114, 115)",0.0027267944604577755
115,"[115, 116)",0.00257859910934594
116,"[116, 117)",0.00018524418888979453
117,"[117, 118)",2.9639070222367125e-05
118,"[118, 119)",0.0003112102373348548
119,"[119, 120)",0.00028898093466807947
120,"[120, 121)",0.0008743525715598302
121,"[121, 122)",1.4819535111183562e-05
122,"[122, 123)",7.409767555591781e-06
123,"[123, 124)",7.409767555591781e-06
124,"[124, 125)",1.4819535111183562e-05
