vehicle type_charging duration_P,Lower Whisker,Q1 (25%),Median (50%),Q3 (75%),Upper Whisker
,,,,,
Private car_charging duration_P1,0.002777778,2.883333333,5.341944444,8.469444444,16.84861111
,,,,,
Private car_charging duration_P2,0.001388889,2.171944444,3.758333333,5.516666667,10.53375
,,,,,
Private car_charging duration_P3,0.002777778,0.591666667,0.891666667,1.2,2.1125
,,,,,
Taxi_charging duration_P1,0.024722222,3.631111111,6.722222222,9.553611111,18.43736111
,,,,,
Taxi_charging duration_P2,0.000833333,2.411111111,4.30375,5.686111111,10.59861111
,,,,,
Taxi_charging duration_P3,0.002777778,0.472222222,0.772222222,1.102777778,2.048611111
,,,,,
Official car_charging duration_P1,0.001666667,1.733333333,4.195694444,7.639513889,16.49878472
,,,,,
Official car_charging duration_P2,0.000833333,1.558333333,3.330555556,5.312708333,10.94427083
,,,,,
Official car_charging duration_P3,0.000555556,0.566666667,0.913888889,1.247222222,2.268055556
,,,,,
Rental car_charging duration_P1,0.002777778,0.952777778,3.017222222,6.580416667,15.021875
,,,,,
Rental car_charging duration_P2,0.001944444,1.038888889,2.888888889,5.25,11.56666667
,,,,,
Rental car_charging duration_P3,0.001111111,0.629444444,0.95,1.25,2.180833333
,,,,,
Bus_charging duration_P1,0.000277778,0.580833333,1.133333333,2.1,4.37875
,,,,,
Bus_charging duration_P2,0.000277778,0.264722222,0.516666667,1.044444444,2.214027778
,,,,,
Bus_charging duration_P3,0.008333333,0.166666667,0.213888889,0.272222222,0.430555556
,,,,,
SPV_charging duration_P1,0.001666667,1.867638889,3.823055556,6.688194444,13.91902778
,,,,,
SPV_charging duration_P2,0.000833333,0.836111111,1.271944444,1.813611111,3.279861111
,,,,,
SPV_charging duration_P3,0.002777778,0.681111111,0.941666667,1.327638889,2.297430556
