city_vehicle type,Lower Whisker,Q1 (25%),Median (50%),Q3 (75%),Upper Whisker
,,,,,
Beijing_Private car,5.1,15.27142857,21.32162338,30.48888889,53.31507937
,,,,,
Shanghai_Private car,5.1,16.64485294,24.44444444,36.16666667,65.44938725
,,,,,
Guangzhou_Private car,5.1,19.6,30.73,52.46333333,101.7583333
,,,,,
Shenzhen_Private car,5.1,17.39692235,27.85714286,53.67806604,108.0997816
,,,,,
Nanjing_Private car,5.1,16.4236195,23.62845118,35.2967246,63.60638225
,,,,,
Chengdu_Private car,5.2,16.25,23.1,35.04858934,63.24647335
,,,,,
Chongqing_Private car,5.2,17.33863636,26.11666667,40.17948052,74.44074675
,,,,,
Beijing_Taxi,6,61.47142064,80.10512821,100.1145604,158.0792701
,,,,,
Shanghai_Taxi,38.97191896,92.56682209,108.6250509,128.2967575,181.8916607
,,,,,
Guangzhou_Taxi,6.696054588,62.80046729,81.06012759,100.2034091,156.3078218
,,,,,
Shenzhen_Taxi,16.96774194,81.12258065,101.48,123.8924731,188.0473118
,,,,,
Nanjing_Taxi,16.9174021,64.01020408,79.40540541,95.40540541,142.4982074
,,,,,
Chengdu_Taxi,5.6,52.96276042,70.15789474,88.53174603,141.8852245
,,,,,
Chongqing_Taxi,5.3,53.30738304,71.89551282,91.73269231,149.3706562
,,,,,
Beijing_Official car,5.1,20.90556027,33.84168157,57.82914557,113.2145235
,,,,,
Shanghai_Official car,5.1,19.77484159,30.09954955,45.39404762,83.82285666
,,,,,
Guangzhou_Official car,5.1,31,57.74165824,86.90288462,170.7572115
,,,,,
Shenzhen_Official car,5.1,38.23863636,67,92.77604938,174.5821689
,,,,,
Nanjing_Official car,5.1,16.72618371,25.44137931,40.66666667,76.5773911
,,,,,
Chengdu_Official car,5.5,20.89,34.30208333,59.56493506,117.5773377
,,,,,
Chongqing_Official car,5.1,21.46153846,33.51842105,45.52469636,81.6194332
,,,,,
Beijing_Rental car,5.2,29.98627717,51.88989899,75.50681818,143.7876297
,,,,,
Shanghai_Rental car,5.1,54,78.64722222,99.6512931,168.1282328
,,,,,
Guangzhou_Rental car,5.1,53.21716216,78,103.249328,178.2975766
,,,,,
Shenzhen_Rental car,5.1,62.97065424,85.90833333,112.1487705,185.9159449
,,,,,
Nanjing_Rental car,5.1,42.69722222,63.27272727,88.503125,157.2119792
,,,,,
Chengdu_Rental car,5.1,51.46622391,82.65070423,108.5018182,194.0552096
,,,,,
Chongqing_Rental car,5.1,43.24,67.32222222,88.25,155.765
,,,,,
Beijing_Bus,5.2,23.88602484,33.60655738,50.32993197,89.99579266
,,,,,
Shanghai_Bus,5.3,24.95282769,36.87927171,56.79073499,104.5475959
,,,,,
Guangzhou_Bus,6,47.66764706,89.61367831,128.0362228,248.5890864
,,,,,
Shenzhen_Bus,5.8,35.14272619,57.15467013,93.02301136,179.8434391
,,,,,
Nanjing_Bus,5.1,28.98823529,39.2627907,58.4557377,102.6569913
,,,,,
Chengdu_Bus,5.3,22.70201255,31.65934066,44.01941748,75.99552487
,,,,,
Chongqing_Bus,5.1,28.25494652,47.12079208,82.92164179,164.9216847
,,,,,
Beijing_SPV,5.1,19.925,34.32122683,57,112.6125
,,,,,
Shanghai_SPV,5.2,25.4149257,40.06417026,59.19615385,109.8679961
,,,,,
Guangzhou_SPV,5.1,31.08083333,49.72184532,75,140.87875
,,,,,
Shenzhen_SPV,5.1,25.75704648,41.5,63.16193778,119.2692747
,,,,,
Nanjing_SPV,5.1,18.32051282,27.15384615,42.2405303,78.12055653
,,,,,
Chengdu_SPV,5.2,24.2,35.99074074,52.4,94.7
,,,,,
Chongqing_SPV,5.2,20.39160839,30.69213483,48.71888889,91.20980963
