city_vehicle type,Lower Whisker,Q1 (25%),Median (50%),Q3 (75%),Upper Whisker
,,,,,
Beijing_Private car,20.3,42.47,52.9,61.9,91.045
,,,,,
Shanghai_Private car,20.2,42.21,55,70,100
,,,,,
Guangzhou_Private car,20.3,33.69,47.8,56.678,91.16
,,,,,
Shenzhen_Private car,20.2,47.8,58.81,69.9,100
,,,,,
Nanjing_Private car,20.2,38.5,55,70,100
,,,,,
Chengdu_Private car,26.25,52.5,55,70,96.25
,,,,,
Chongqing_Private car,20.21,49,55,70,100
,,,,,
Beijing_Taxi,23.1,37.8,47.6,47.6,62.3
,,,,,
Shanghai_Taxi,29.275,43.33,50.8,52.7,66.755
,,,,,
Guangzhou_Taxi,43.55,50,52.56,54.3,60.75
,,,,,
Shenzhen_Taxi,41.4,49.41,51.2,54.75,62.76
,,,,,
Nanjing_Taxi,36.25,50.8,52.5,60.5,75.05
,,,,,
Chengdu_Taxi,50.8,50.8,50.8,50.8,50.8
,,,,,
Chongqing_Taxi,42.75,71.7,82,91,91
,,,,,
Beijing_Official car,20.3,30.4,43.2,53.6,88.4
,,,,,
Shanghai_Official car,24.45,42,50.8,53.7,71.25
,,,,,
Guangzhou_Official car,21.9,32.2,48.31,55,89.2
,,,,,
Shenzhen_Official car,20.3,37.8,41.86,53.6,77.3
,,,,,
Nanjing_Official car,20.21,32.2,52.5,70,102.8
,,,,,
Chengdu_Official car,26.05,52.9,62,70.8,97.65
,,,,,
Chongqing_Official car,30.535,47.5,53.6,58.81,75.775
,,,,,
Beijing_Rental car,20.3,24,30.4,51.84,86.02
,,,,,
Shanghai_Rental car,20.2,35,42,50,72.5
,,,,,
Guangzhou_Rental car,20.2,30,49,52.56,84.24
,,,,,
Shenzhen_Rental car,20.2,35,51.2,53.6,76.896
,,,,,
Nanjing_Rental car,20.3,32.2368,45,52.56,83.0448
,,,,,
Chengdu_Rental car,22.1,35,48.3,50.8,74.5
,,,,,
Chongqing_Rental car,37.25,51.2,53.1,60.5,74.45
,,,,,
Beijing_Bus,20.35,101.5,123.65,162,252.75
,,,,,
Shanghai_Bus,21.63,70.656,77.28,126.7,210.766
,,,,,
Guangzhou_Bus,21.63,133.51,180.87,251.31,351.23
,,,,,
Shenzhen_Bus,86.109,222.45,303.1,313.344,449.685
,,,,,
Nanjing_Bus,25.53,62.2,101.568,221.1,322.56
,,,,,
Chengdu_Bus,26.6,147.5,282.2,314.14,374.65
,,,,,
Chongqing_Bus,43.7,165.9,207.3,255.7,365
,,,,,
Beijing_SPV,20.35,46,75,86.02,146.05
,,,,,
Shanghai_SPV,24.86,41.4,46,81.14,140.75
,,,,,
Guangzhou_SPV,24,34.56,41.4,43.2,56.16
,,,,,
Shenzhen_SPV,25.344,39.936,41.86,71,117.596
,,,,,
Nanjing_SPV,24.86,41.21,46.33,57.2,81.185
,,,,,
Chengdu_SPV,25.92,41.86,48.5,71,114.71
,,,,,
Chongqing_SPV,24.3,39.936,42.04,73.87,124.771
