feature,mean_abs_shap
total_concurrent_load,5.558104
power_level_encoded,1.7391465
p3_concurrent_load,0.8541486
hour_cos,0.3269369
power_level_kw_min,0.23482056
hour_sin,0.12694116
is_workday,0.06955747
is_daytime,0.060319513
power_level_kw_max,0.056024376
minute_of_day,0.052893598
hour_of_day,0.047213614
is_night,0.015045834
charging_load_kw,0.0070643076
vehicle_count,0.0031761318
energy_ratio_median,0.0015245129
is_peak_morning,0.0013942184
battery_median_kwh,0.0011188259
daily_charging_freq,0.00094949605
load_share,0.0007605497
is_peak_evening,0.00039478164
vehicle_type_encoded,7.814568e-05
is_service_vehicle,0.0
ecr_month_mean,0.0
