feature,mean_abs_shap
total_concurrent_load,4.983740118018331
power_level_encoded,1.3340537910657184
p3_concurrent_load,0.7898024110811899
power_level_kw_min,0.4052561063289083
hour_cos,0.286844240728472
hour_sin,0.14783603649333957
vehicle_count,0.09241734681871723
minute_of_day,0.08799145552797742
is_workday,0.07640880653822456
power_level_kw_max,0.07215827521749311
charging_load_kw,0.0432906769278727
load_share,0.023122907154340074
hour_of_day,0.015184381692656604
is_peak_morning,0.013470568887675186
is_service_vehicle,0.010162623871720284
battery_median_kwh,0.007276266632687767
is_peak_evening,0.005788288094315212
is_daytime,0.00421648404337
energy_ratio_median,0.003916977786601055
vehicle_type_encoded,0.0016371323802508405
daily_charging_freq,0.0009824525658285723
is_night,0.0007798314830474557
ecr_month_mean,0.0
