feature,mean_abs_shap
total_concurrent_load,5.0195494
power_level_encoded,1.1910008
p3_concurrent_load,0.96240526
hour_cos,0.3776702
hour_sin,0.17080249
power_level_kw_min,0.16414037
minute_of_day,0.16295163
is_workday,0.15395935
vehicle_count,0.11062011
charging_load_kw,0.098219655
power_level_kw_max,0.055368733
load_share,0.046163995
hour_of_day,0.028897407
is_daytime,0.02724024
is_peak_morning,0.009958444
vehicle_type_encoded,0.009904027
daily_charging_freq,0.009822952
battery_median_kwh,0.009207727
is_service_vehicle,0.0075395848
is_night,0.0068838485
energy_ratio_median,0.0068328343
is_peak_evening,0.0039047005
ecr_month_mean,0.0
