feature,mean_abs_shap
total_concurrent_load,4.8202677
power_level_encoded,1.0601214
p3_concurrent_load,0.68757796
minute_of_day,0.6144468
hour_sin,0.2793436
charging_load_kw,0.15350167
vehicle_count,0.14918475
power_level_kw_min,0.1357048
hour_cos,0.112726346
is_workday,0.099666856
load_share,0.06585644
battery_median_kwh,0.044402447
energy_ratio_median,0.03524712
power_level_kw_max,0.033362817
hour_of_day,0.028233927
vehicle_type_encoded,0.017111441
is_peak_morning,0.010334967
daily_charging_freq,0.009314451
is_service_vehicle,0.0040511964
is_daytime,0.0
is_peak_evening,0.0
is_night,0.0
ecr_month_mean,0.0
