minute_of_day,baseline,delay_p3_peak,redistribute,v2g
0,207511.59372051185,207511.59372051185,207511.59372051185,190442.9409677816
5,223420.60589476454,223420.60589476454,178536.89354948665,205604.44917011412
10,212013.3034831683,212013.3034831683,211012.61978224418,194510.17083926883
15,203850.1208946806,204395.67513490733,203850.1208946806,203850.1208946806
20,207779.45324741688,207779.45324741688,172093.51506831136,190249.25616770334
25,204999.72716694773,204999.72716694773,204999.72716694773,204999.72716694773
30,198722.80064526034,204368.5555458281,195542.24703908086,198722.80064526034
35,201476.60415661754,204557.55849842448,197434.0397516946,201476.60415661754
40,200965.0911067373,204361.401394151,199677.0723610404,200965.0911067373
45,192167.93433399402,204214.14718995616,160962.35608399563,192167.93433399402
50,193139.41482890284,204235.79903408364,191499.56501731064,193139.41482890284
55,195505.4372222332,204362.6056230322,191271.5997769468,195505.4372222332
60,206701.8504637199,206701.8504637199,196884.8917562989,206701.8504637199
65,204581.11641771044,204581.11641771044,188790.5879283862,204581.11641771044
70,194550.45882304452,204364.8178523158,188790.45377251212,194550.45882304452
75,183316.39040150435,204373.98029963116,188786.3439381619,183316.39040150435
80,190479.3483444461,204360.21851822178,188781.55140710718,190479.3483444461
85,184797.5422946473,204553.13619544415,188620.2813076929,184797.5422946473
90,191733.38760855154,204569.33606589196,188836.76170354744,191733.38760855154
95,207158.0694022054,207158.0694022054,190855.21779852328,192150.05460432058
100,197839.94620155665,204269.58084171443,188785.51830962818,197839.94620155665
105,189395.43665974753,204372.30089576961,188764.89684720748,189395.43665974753
110,192319.55293370975,204210.8025909048,188720.006456313,192319.55293370975
115,189670.7304500308,204367.65110107433,188610.2283007661,189670.7304500308
120,185614.2406272219,204567.42273865524,188672.21865532533,185614.2406272219
125,188444.14843936462,204357.02334812903,188633.763715899,188444.14843936462
130,194792.40772437322,204348.7216377155,188672.47345266838,194792.40772437322
135,186808.9609923371,204242.87543669692,188673.90730241832,186808.9609923371
140,183209.0847712045,204375.06685871992,188794.0825716787,183209.0847712045
145,182746.30802112064,204349.7636607641,188783.40029877133,182746.30802112064
150,193538.16068359194,204358.34876269283,188775.09300810282,193538.16068359194
155,184180.61747996797,204559.0292425656,188813.0733270503,184180.61747996797
160,170395.49024135058,204555.16121869927,188787.42384997176,170395.49024135058
165,158273.12251587058,204241.95586719082,188817.73551815125,158273.12251587058
170,165069.66836975506,204358.0462193712,188681.3464713061,165069.66836975506
175,152367.9263487519,204357.6229444688,188635.23089925092,152367.9263487519
180,147181.75755996245,204353.83885936605,188791.44079574166,147181.75755996245
185,144082.26035758347,204361.09463947747,188789.16954018074,144082.26035758347
190,141370.15110420575,204570.1548353385,188617.1113654708,141370.15110420575
195,139119.39734282016,204560.03053246113,188772.4852754764,139119.39734282016
200,136533.35108709437,204367.63118616852,188793.17470950022,136533.35108709437
205,134194.93234798755,204373.5815319999,188825.496410186,134194.93234798755
210,133110.39226878196,204569.93800059744,188791.77612493816,133110.39226878196
215,133351.58623490925,204214.8900019553,188792.97527043705,133351.58623490925
220,137680.49045926944,204354.31662222891,188749.5608231474,137680.49045926944
225,137121.81400593527,204344.28515489327,188825.4204988158,137121.81400593527
230,133551.8866348292,204555.7207065169,188829.9407799699,133551.8866348292
235,127439.11698455438,204357.67144654988,188796.23207904422,127439.11698455438
240,120866.70627056551,204560.5151925266,188781.28998573005,120866.70627056551
245,114323.35427377633,204356.79693012062,188792.40631683427,114323.35427377633
250,109820.06287101255,204554.76219393904,188795.98877325797,109820.06287101255
255,106464.72821862178,204356.0406367768,188804.07402773344,106464.72821862178
260,103009.54718007034,204204.24760556547,188776.867348279,103009.54718007034
265,99825.20372059607,204257.07408085125,188775.78458041768,99825.20372059607
270,97282.18722470065,204583.51371741074,188831.1526006181,97282.18722470065
275,94614.74523127198,204467.0821752815,188784.55805925804,94614.74523127198
280,92056.01250682668,204398.46829387278,188730.49980420366,92056.01250682668
