dataset,column,dtype,non_null,nulls,unique_values,min,max,meaning
charging_load,time_slot,int64,289,0,289,0,288,Temporal index or time-of-day field from the aggregated public dataset.
charging_load,Private car_P1_workday,float64,289,0,288,1067.406820250348,4464.008406057204,Charging power-level or delivered-power aggregate/statistic.
charging_load,Private car_P2_workday,float64,289,0,288,1982.4898048067143,14893.774667222002,Charging power-level or delivered-power aggregate/statistic.
charging_load,Private car_P3_workday,float64,289,0,288,972.0406932655608,7597.218483723171,Charging power-level or delivered-power aggregate/statistic.
charging_load,Taxi_P1_workday,float64,289,0,288,30.55965003642169,210.99185981940136,Charging power-level or delivered-power aggregate/statistic.
charging_load,Taxi_P2_workday,float64,289,0,288,202.7743830381695,2649.808257098225,Charging power-level or delivered-power aggregate/statistic.
charging_load,Taxi_P3_workday,float64,289,0,288,311.0210492936048,1862.803586190397,Charging power-level or delivered-power aggregate/statistic.
charging_load,Official car_P1_workday,float64,289,0,288,187.46769371179315,552.0543206370947,Charging power-level or delivered-power aggregate/statistic.
charging_load,Official car_P2_workday,float64,289,0,288,690.4070056809508,3354.431676818678,Charging power-level or delivered-power aggregate/statistic.
charging_load,Official car_P3_workday,float64,289,0,288,1264.1151122247632,5427.720476051053,Charging power-level or delivered-power aggregate/statistic.
charging_load,Rental car_P1_workday,float64,289,0,288,47.86460286057131,144.84922271577472,Charging power-level or delivered-power aggregate/statistic.
charging_load,Rental car_P2_workday,float64,289,0,288,150.80883832284897,644.5713203026411,Charging power-level or delivered-power aggregate/statistic.
charging_load,Rental car_P3_workday,float64,289,0,288,586.4629322731133,4643.187084052238,Charging power-level or delivered-power aggregate/statistic.
charging_load,Bus_P1_workday,float64,289,0,288,1998.421003409753,16658.012959192336,Charging power-level or delivered-power aggregate/statistic.
charging_load,Bus_P2_workday,float64,289,0,288,3835.923090973022,24150.26704935924,Charging power-level or delivered-power aggregate/statistic.
charging_load,Bus_P3_workday,float64,289,0,288,3475.26558763737,61999.23895180179,Charging power-level or delivered-power aggregate/statistic.
charging_load,SPV_P1_workday,float64,289,0,288,172.9148764920957,764.039100883156,Charging power-level or delivered-power aggregate/statistic.
charging_load,SPV_P2_workday,float64,289,0,288,1559.1164628271072,8714.118984687046,Charging power-level or delivered-power aggregate/statistic.
charging_load,SPV_P3_workday,float64,289,0,288,446.5370949074304,1596.38841514928,Charging power-level or delivered-power aggregate/statistic.
charging_load,Private car_P1_weekend & holiday,float64,289,0,288,1072.2184426057256,4252.606444455538,Charging power-level or delivered-power aggregate/statistic.
charging_load,Private car_P2_weekend & holiday,float64,289,0,288,2062.577284688244,16238.010357272531,Charging power-level or delivered-power aggregate/statistic.
charging_load,Private car_P3_weekend & holiday,float64,289,0,288,1176.791872896254,7992.72382707487,Charging power-level or delivered-power aggregate/statistic.
charging_load,Taxi_P1_weekend & holiday,float64,289,0,288,34.03945705294609,245.27091281861067,Charging power-level or delivered-power aggregate/statistic.
charging_load,Taxi_P2_weekend & holiday,float64,289,0,288,286.925465926528,2803.2168662780896,Charging power-level or delivered-power aggregate/statistic.
charging_load,Taxi_P3_weekend & holiday,float64,289,0,288,381.0687240660191,1626.0722487717867,Charging power-level or delivered-power aggregate/statistic.
charging_load,Official car_P1_weekend & holiday,float64,289,0,288,171.1750207288375,615.1262497700104,Charging power-level or delivered-power aggregate/statistic.
charging_load,Official car_P2_weekend & holiday,float64,289,0,288,789.7171559192241,3791.843534326181,Charging power-level or delivered-power aggregate/statistic.
charging_load,Official car_P3_weekend & holiday,float64,289,0,288,1548.6550799316417,5885.3734952619925,Charging power-level or delivered-power aggregate/statistic.
charging_load,Rental car_P1_weekend & holiday,float64,289,0,288,60.636559626087546,187.52042935276404,Charging power-level or delivered-power aggregate/statistic.
